id,title,namerank,nr_std,refusal_rate,mean_cov,mean_acc,n_models,region_group,region,country,category,start_year,start_month,peak_views,total_views,eff_duration,days_above_10,tail_daily,gold_words
event_assassination_of_vladlen_tatarsky,Assassination of Vladlen Tatarsky,0.8333333333333334,0.37267799624996495,0.0,0.0,0.0,36,Eastern Europe & Russia,Eastern Europe & Russia,Russia,conflict_terrorism,2023,4,4078,30241,7.42,8,156.4,111
event_2021_czech_parliamentary_election,2021 Czech parliamentary election,0.8333333333333334,0.37267799624996495,0.0,0.0,0.0,36,Eastern Europe & Russia,Eastern Europe & Russia,Czech Republic,politics_elections,2021,10,161,1504,9.34,12,2.0,200
event_2023_men_s_fih_hockey_world_cup,2023 Men's FIH Hockey World Cup,0.8108108108108109,0.3916588309780929,0.02702702702702703,0.0,0.0,37,South & Southeast Asia,South Asia,India,sports,2023,1,141844,1469669,10.36,21,807.2,100
event_2023_argentine_general_election,2023 Argentine general election,0.8108108108108109,0.3916588309780929,0.02702702702702703,0.0,0.0,37,Latin America,Latin America,Argentina,politics_elections,2023,10,170433,1313048,7.7,9,535.2,193
event_2021_indian_air_force_mil_mi_17_crash,2021 Indian Air Force Mil Mi-17 crash,0.8108108108108109,0.3916588309780929,0.02702702702702703,0.0,0.0,37,South & Southeast Asia,South Asia,India,accident_disaster,2021,12,47625,164719,3.46,6,98.5,78
event_2023_visit_by_joe_biden_to_ukraine,2023 visit by Joe Biden to Ukraine,0.8108108108108109,0.3916588309780929,0.08108108108108109,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Ukraine,politics_elections,2023,2,8242,70279,8.53,11,57.7,196
event_2021_uzbek_presidential_election,2021 Uzbek presidential election,0.8108108108108109,0.3916588309780929,0.02702702702702703,0.0,0.0,37,South & Southeast Asia,Central Asia & Caucasus,Uzbekistan,politics_elections,2021,10,5839,68784,11.78,17,43.2,161
event_kazan_school_shooting,Kazan school shooting,0.8108108108108109,0.3916588309780929,0.0,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Russia,crime_legal,2021,5,41456,240359,5.8,10,166.0,72
event_2023_paraguayan_general_election,2023 Paraguayan general election,0.8108108108108109,0.3916588309780929,0.0,0.0,0.0,37,Latin America,Latin America,Paraguay,politics_elections,2023,4,24845,162856,6.55,8,83.8,105
event_2023_grand_national,2023 Grand National,0.8108108108108109,0.3916588309780929,0.0,0.0,0.0,37,Western Europe,Western Europe,United Kingdom,sports,2023,4,27738,76508,2.76,4,95.2,147
event_2021_hualien_train_derailment,2021 Hualien train derailment,0.8055555555555556,0.39577241246597245,0.05555555555555555,0.0,0.0,36,East Asia,East Asia,Taiwan,accident_disaster,2021,4,13096,51464,3.93,5,34.7,150
event_2022_abu_dhabi_attack,2022 Abu Dhabi attack,0.8055555555555556,0.3957724124659724,0.08333333333333333,0.0,0.0,36,Middle East & Africa,Middle East & North Africa,United Arab Emirates,conflict_terrorism,2022,1,3861,43631,11.3,19,67.4,54
event_2023_northwest_territories_general_election,2023 Northwest Territories general election,0.8055555555555556,0.39577241246597245,0.027777777777777776,0.0,0.0,36,Anglo-America & Oceania,North America,Canada,politics_elections,2023,11,1348,16533,12.26,26,28.9,143
event_october_2021_tehreek_e_labbaik_pakistan_protests,October 2021 Tehreek-e-Labbaik Pakistan protests,0.8055555555555556,0.3957724124659724,0.027777777777777776,0.0,0.0,36,South & Southeast Asia,South Asia,Pakistan,civil_unrest,2021,10,1264,13850,10.96,16,9.4,56
event_2022_azadi_march,2022 Azadi march,0.8055555555555556,0.39577241246597245,0.027777777777777776,0.0,0.0,36,South & Southeast Asia,South Asia,Pakistan,civil_unrest,2022,5,1341,13675,10.2,17,3.0,133
event_2021_maduo_earthquake,2021 Maduo earthquake,0.8055555555555556,0.3957724124659724,0.08333333333333333,0.0,0.0,36,East Asia,East Asia,China,natural_disaster,2021,5,619,10752,17.37,31,17.0,127
event_late_december_2021_bahia_floods,Late December 2021 Bahia floods,0.8055555555555556,0.39577241246597245,0.027777777777777776,0.0,0.0,36,Latin America,Latin America,Brazil,natural_disaster,2021,12,539,3266,6.06,9,2.3,190
