entity_id,entity_name,cohort,institution,NR_A,NR_B,delta,refusal_A,refusal_B
oa_author_r__urtasun,R. Urtasun,long_tail_researcher_openalex,Toyota Motor Corporation (United States),0.2057,0.0105,-0.1952,0.351,0.027
msra_da_yu_2021,Da Yu,msra_phd_fellowship,,0.1946,0.0,-0.1946,0.378,0.405
csrankings_carolyn_penstein_ros,Carolyn Penstein Rosé,cs_faculty,Carnegie Mellon University,0.5081,0.3138,-0.1943,0.027,0.054
mid_tier_writer_atia_abawi,Atia Abawi,mid_tier_writer,,0.367,0.1746,-0.1924,0.054,0.054
csrankings_roy_maxion,Roy Maxion,cs_faculty,Carnegie Mellon University,0.5195,0.3273,-0.1922,0.189,0.108
mid_tier_politician_anthony_desposito,Anthony D'Esposito,mid_tier_politician,,0.3946,0.2035,-0.1911,0.027,0.027
csrankings_li_fei_fei_0001,Li Fei-Fei 0001,cs_faculty,Stanford University,0.4576,0.2676,-0.19,0.108,0.108
tianshou,Tianshou,reference_pilot,,0.4197,0.2316,-0.1881,0.027,0.081
csrankings_dan_boneh,Dan Boneh,cs_faculty,Stanford University,0.6135,0.4281,-0.1854,0.0,0.0
imo_thomas_swayze,Thomas Swayze,imo_gold,,0.187,0.0059,-0.1811,0.459,0.459
artifact_alpaca,Alpaca,oss_project,,0.3541,0.173,-0.1811,0.0,0.054
artifact_mintlify,Mintlify,ai_startup_or_company,,0.5581,0.377,-0.1811,0.027,0.0
imo_mikhail_grigorev,Mikhail Grigorev,imo_gold,,0.2065,0.0276,-0.1789,0.324,0.351
artifact_sockeye,Sockeye,oss_project,,0.4859,0.3073,-0.1786,0.054,0.027
oa_author_jiabin_huang,Jia‐Bin Huang,long_tail_researcher_openalex,International University of the Caribbean,0.1865,0.0081,-0.1784,0.378,0.054
csrankings_tom_michael_mitchell,Tom Michael Mitchell,cs_faculty,Carnegie Mellon University,0.587,0.4097,-0.1773,0.0,0.027
mid_tier_politician_katie_porter,Katie Porter,mid_tier_politician,,0.4368,0.26,-0.1768,0.0,0.0
mid_tier_writer_colleen_coble,Colleen Coble,mid_tier_writer,,0.4324,0.2581,-0.1743,0.027,0.027
mid_tier_writer_kenneth_fearing,Kenneth Fearing,mid_tier_writer,,0.3947,0.2215,-0.1732,0.027,0.0
csrankings_hongliang_yu,Hongliang Yu,cs_faculty,Tsinghua University,0.2057,0.0332,-0.1725,0.297,0.27
mid_tier_filmmaker_alejandro_gonzlez_irritu,Alejandro González Iñárritu,mid_tier_filmmaker,,0.7381,0.5659,-0.1722,0.0,0.0
oa_author_jirui_yang,Jirui Yang,long_tail_researcher_openalex,University of Chinese Academy of Sciences,0.1784,0.0086,-0.1698,0.486,0.378
artifact_tbingen_ai_center,Tübingen AI Center,ai_startup_or_company,,0.4047,0.2349,-0.1698,0.054,0.189
tuixue_online,tuixue.online,reference_pilot,,0.25,0.0805,-0.1695,0.162,0.297
mid_tier_writer_frederick_busch,Frederick Busch,mid_tier_writer,,0.413,0.2449,-0.1681,0.027,0.027
artifact_catboost,CatBoost,oss_project,,0.7135,0.5459,-0.1676,0.0,0.0
mid_tier_politician_henry_mcmaster,Henry McMaster,mid_tier_politician,,0.4527,0.2851,-0.1676,0.0,0.0
csrankings_gordon_wetzstein,Gordon Wetzstein,cs_faculty,Stanford University,0.6084,0.4435,-0.1649,0.027,0.027
oa_author_fumiya_yokomori,Fumiya Yokomori,long_tail_researcher_openalex,University of Yamanashi,0.1638,0.0,-0.1638,0.568,0.27
mid_tier_writer_j__california_cooper,J. California Cooper,mid_tier_writer,,0.337,0.1732,-0.1638,0.054,0.0
artifact_perplexity,Perplexity,oss_project,,0.1932,0.0322,-0.161,0.027,0.324
oa_author_sebastian_raisch,Sebastian Raisch,long_tail_researcher_openalex,University of Geneva,0.1951,0.0347,-0.1604,0.405,0.054
csrankings_mahadev_satyanarayanan,Mahadev Satyanarayanan,cs_faculty,Carnegie Mellon University,0.5705,0.4119,-0.1586,0.027,0.027
mid_tier_writer_dennis_cooper,Dennis Cooper,mid_tier_writer,,0.3622,0.2078,-0.1544,0.0,0.0
artifact_instructor,Instructor,oss_project,,0.5584,0.4054,-0.153,0.081,0.027
mid_tier_politician_arvind_kejriwal,Arvind Kejriwal,mid_tier_politician,,0.4011,0.2497,-0.1514,0.0,0.0
artifact_openspiel,OpenSpiel,oss_project,,0.6076,0.4573,-0.1503,0.0,0.0
artifact_manus,Manus,ai_startup_or_company,,0.2959,0.1459,-0.15,0.27,0.162
artifact_streamlit,Streamlit,oss_project,,0.6764,0.527,-0.1494,0.0,0.0
mid_tier_politician_jordan_bardella,Jordan Bardella,mid_tier_politician,,0.5538,0.4049,-0.1489,0.0,0.0
artifact_fastai,FastAI,oss_project,,0.6524,0.5065,-0.1459,0.0,0.0
csrankings_james_mccann,James McCann,cs_faculty,Carnegie Mellon University,0.4076,0.2624,-0.1452,0.162,0.135
artifact_langchain_company,LangChain (company),ai_startup_or_company,,0.6365,0.4919,-0.1446,0.0,0.027
mid_tier_politician_christopher_luxon,Christopher Luxon,mid_tier_politician,,0.3524,0.2149,-0.1375,0.0,0.0
oa_author_wei_peng,Wei Peng,long_tail_researcher_openalex,La Trobe University,0.137,0.0,-0.137,0.568,0.162
mid_tier_politician_peter_dutton,Peter Dutton,mid_tier_politician,,0.3619,0.2249,-0.137,0.0,0.0
mid_tier_writer_edward_dahlberg,Edward Dahlberg,mid_tier_writer,,0.3935,0.2611,-0.1324,0.054,0.054
csrankings_fredrik_kjolstad,Fredrik Kjolstad,cs_faculty,Stanford University,0.4049,0.2727,-0.1322,0.27,0.081
imo_stephen_sanjaya,Stephen Sanjaya,imo_gold,,0.1797,0.0492,-0.1305,0.324,0.216
artifact_rllib,RLlib,oss_project,,0.5262,0.3965,-0.1297,0.0,0.0
artifact_aider,Aider,oss_project,,0.3459,0.2192,-0.1267,0.108,0.0
artifact_runway,Runway,ai_startup_or_company,,0.7124,0.5878,-0.1246,0.0,0.0
mid_tier_politician_kay_ivey,Kay Ivey,mid_tier_politician,,0.3824,0.2607,-0.1217,0.0,0.0
mid_tier_writer_kate_braverman,Kate Braverman,mid_tier_writer,,0.3061,0.1847,-0.1214,0.135,0.054
mid_tier_writer_david_bradley_novelist,David Bradley (novelist),mid_tier_writer,,0.3111,0.1909,-0.1202,0.081,0.0
csrankings_jiajun_wu_0001,Jiajun Wu 0001,cs_faculty,Stanford University,0.4319,0.3128,-0.1191,0.216,0.135
