entity_id,entity_name,cohort,western_mean,chinese_mean,delta_chinese_minus_western,abs_delta
imo_andrey_volgin,Andrey Volgin,imo_gold,0.3565,0.2786,-0.078,0.078
imo_anh_dc_v,Anh Đức Võ,imo_gold,0.4626,0.3893,-0.0733,0.0733
imo_tun_huy_phm,Tuấn Huy Phạm,imo_gold,0.4487,0.4071,-0.0416,0.0416
imo_thnh_trung_cn_trn,Thành Trung Cấn Trần,imo_gold,0.3113,0.1771,-0.1342,0.1342
imo_matei_mandache,Matei Mandache,imo_gold,0.3974,0.375,-0.0224,0.0224
imo_alexander_gunning,Alexander Gunning,imo_gold,0.4813,0.5,0.0187,0.0187
imo_arek_bedroya,Arek Bedroya,imo_gold,0.2139,0.1571,-0.0568,0.0568
imo_dario_ascari,Dario Ascari,imo_gold,0.2557,0.1657,-0.0899,0.0899
imo_chao_gu,Chao Gu,imo_gold,0.4013,0.3857,-0.0156,0.0156
imo_vadym_kalashnykov,Vadym Kalashnykov,imo_gold,0.4383,0.2721,-0.1661,0.1661
imo_zarko_randelovi,Žarko Ranđelović,imo_gold,0.4926,0.3693,-0.1233,0.1233
icpc_bin_jin_2010,Bin Jin,icpc_world_finals_gold,0.5922,0.5214,-0.0707,0.0707
icpc_zhao_zheng_2010,Zhao Zheng,icpc_world_finals_gold,0.4913,0.5857,0.0944,0.0944
icpc_zhuojie_wu_2010,Zhuojie Wu,icpc_world_finals_gold,0.6217,0.585,-0.0367,0.0367
icpc_jialin_ouyang_2011,Jialin Ouyang,icpc_world_finals_gold,0.537,0.6036,0.0666,0.0666
icpc_luyi_mo_2011,Luyi Mo,icpc_world_finals_gold,0.5817,0.51,-0.0717,0.0717
icpc_zejun_wu_2011,Zejun Wu,icpc_world_finals_gold,0.537,0.5936,0.0566,0.0566
icpc_eugeny_kapun_2012,Eugeny Kapun,icpc_world_finals_gold,0.5126,0.7421,0.2295,0.2295
icpc_mikhail_kever_2012,Mikhail Kever,icpc_world_finals_gold,0.6252,0.5936,-0.0316,0.0316
icpc_niyaz_nigmatullin_2012,Niyaz Nigmatullin,icpc_world_finals_gold,0.7167,0.7643,0.0475,0.0475
icpc_gennady_korotkevich_2013,Gennady Korotkevich,icpc_world_finals_gold,0.6426,0.6836,0.041,0.041
icpc_mikhail_kever_2013,Mikhail Kever,icpc_world_finals_gold,0.6296,0.6129,-0.0167,0.0167
icpc_niyaz_nigmatullin_2013,Niyaz Nigmatullin,icpc_world_finals_gold,0.6804,0.6386,-0.0419,0.0419
icpc_dmitry_egorov_2014,Dmitry Egorov,icpc_world_finals_gold,0.5617,0.5214,-0.0403,0.0403
icpc_egor_suvorov_2014,Egor Suvorov,icpc_world_finals_gold,0.5674,0.7379,0.1705,0.1705
icpc_pavel_kunyavskiy_2014,Pavel Kunyavskiy,icpc_world_finals_gold,0.6446,0.7129,0.0683,0.0683
icpc_artem_vasilyev_2015,Artem Vasilyev,icpc_world_finals_gold,0.6239,0.4929,-0.1311,0.1311
icpc_borys_minaiev_2015,Borys Minaiev,icpc_world_finals_gold,0.6491,0.6071,-0.042,0.042
icpc_gennady_korotkevich_2015,Gennady Korotkevich,icpc_world_finals_gold,0.6687,0.6521,-0.0166,0.0166
gpt5_aidan_mclaughlin,Aidan McLaughlin,gpt5_system_card_author,0.0039,0.0214,0.0175,0.0175
gpt5_alec_helyar,Alec Helyar,gpt5_system_card_author,0.073,0.07,-0.003,0.003
gpt5_alex_karpenko,Alex Karpenko,gpt5_system_card_author,0.0122,0.0,-0.0122,0.0122
gpt5_alexey_ivanov,Alexey Ivanov,gpt5_system_card_author,0.0017,0.0,-0.0017,0.0017
gpt5_alyssa_huang,Alyssa Huang,gpt5_system_card_author,0.0209,0.0,-0.0209,0.0209
gpt5_andrei_gheorghe,Andrei Gheorghe,gpt5_system_card_author,0.003,0.0114,0.0084,0.0084
gpt5_andrey_mishchenko,Andrey Mishchenko,gpt5_system_card_author,0.0583,0.0,-0.0583,0.0583
gpt5_anubha_srivastava,Anubha Srivastava,gpt5_system_card_author,0.067,0.0,-0.067,0.067
gpt5_ben_eggers,Ben Eggers,gpt5_system_card_author,0.0252,0.0986,0.0734,0.0734
gpt5_borys_minaiev,Borys Minaiev,gpt5_system_card_author,0.1383,0.0136,-0.1247,0.1247
gpt5_brendan_quinn,Brendan Quinn,gpt5_system_card_author,0.01,0.0357,0.0257,0.0257
gpt5_brittany_brenner,Brittany Brenner,gpt5_system_card_author,0.0087,0.0,-0.0087,0.0087
gpt5_cedric_whitney,Cedric Whitney,gpt5_system_card_author,0.1117,0.0,-0.1117,0.1117
gpt5_chen_shen,Chen Shen,gpt5_system_card_author,0.007,0.0586,0.0516,0.0516
gpt5_christina_kaplan,Christina Kaplan,gpt5_system_card_author,0.0391,0.0,-0.0391,0.0391
gpt5_colin_reid,Colin Reid,gpt5_system_card_author,0.0287,0.0171,-0.0116,0.0116
gpt5_da_tang,Da Tang,gpt5_system_card_author,0.0122,0.0,-0.0122,0.0122
gpt5_daniel_wright,Daniel Wright,gpt5_system_card_author,0.0496,0.0143,-0.0353,0.0353
gpt5_derek_lim,Derek Lim,gpt5_system_card_author,0.0526,0.0,-0.0526,0.0526
gpt5_dj_strouse,DJ Strouse,gpt5_system_card_author,0.0887,0.0357,-0.053,0.053
gpt5_elaine_ya_le,Elaine Ya Le,gpt5_system_card_author,0.0122,0.0,-0.0122,0.0122
gpt5_eri_schwartz,Eri Schwartz,gpt5_system_card_author,0.02,0.025,0.005,0.005
gpt5_erik_ritter,Erik Ritter,gpt5_system_card_author,0.0087,0.035,0.0263,0.0263
gpt5_filipe_de_avila_belbute_peres,Filipe de Avila Belbute Peres,gpt5_system_card_author,0.1539,0.0057,-0.1482,0.1482
gpt5_francis_zhang,Francis Zhang,gpt5_system_card_author,0.04,0.0,-0.04,0.04
gpt5_gildas_chabot,Gildas Chabot,gpt5_system_card_author,0.0017,0.0,-0.0017,0.0017
gpt5_hanson_wang,Hanson Wang,gpt5_system_card_author,0.06,0.0,-0.06,0.06
gpt5_heather_schmidt,Heather Schmidt,gpt5_system_card_author,0.0039,0.0,-0.0039,0.0039
gpt5_ian_kivlichan,Ian Kivlichan,gpt5_system_card_author,0.1635,0.0564,-0.107,0.107
gpt5_ilge_akkaya,Ilge Akkaya,gpt5_system_card_author,0.1843,0.0336,-0.1508,0.1508
