imo_entity_id,imo_gold_chars,imo_namerank,partner_entity_id,partner_gold_chars,partner_namerank,delta_chars,delta_namerank_imo_minus_partner,match_kind
imo_andrey_volgin,367,0.327,cmo_zhuang_ziquan_2010,383,0.3422,-16,-0.015199999999999991,IMO_vs_CMO_tol_50chars
imo_nazar_serdyuk,368,0.3686,cmo_xie_yongjia_2010,383,0.3373,-15,0.031299999999999994,IMO_vs_CMO_tol_50chars
imo_stefan_adrian_ivanovici,378,0.24,cmo_cheng_deyong_2010,384,0.2216,-6,0.0184,IMO_vs_CMO_tol_50chars
imo_jetze_zoethout,373,0.3178,cmo_li_hongyi_2010,385,0.3424,-12,-0.024599999999999955,IMO_vs_CMO_tol_50chars
imo_jose_gustavo_garcia_sulca,377,0.327,cmo_lu_weiyang_2010,385,0.2778,-8,0.04920000000000002,IMO_vs_CMO_tol_50chars
imo_aleksandr_kalmynin,372,0.3962,cmo_hu_wei_2012,385,0.253,-13,0.1432,IMO_vs_CMO_tol_50chars
imo_sung_gi_park,365,0.3862,cmo_gao_chengyu_2010,386,0.2492,-21,0.13699999999999998,IMO_vs_CMO_tol_50chars
imo_suthee_ruangwises,373,0.4192,cmo_jin_di_2012,386,0.3068,-13,0.1124,IMO_vs_CMO_tol_50chars
imo_mathias_bk_tejs_knudsen,379,0.5527,cmo_he_fan_2012,386,0.3173,-7,0.23539999999999994,IMO_vs_CMO_tol_50chars
imo_jirawat_anunrojwong,375,0.417,cmo_liu_siyu_2012,387,0.4022,-12,0.01479999999999998,IMO_vs_CMO_tol_50chars
imo_kanat_satylkhanov,375,0.4181,cmo_wan_zhiyu_2012,388,0.3049,-13,0.11320000000000002,IMO_vs_CMO_tol_50chars
imo_so_min_mun,367,0.2327,cmo_wu_yuchen_2012,388,0.4597,-21,-0.227,IMO_vs_CMO_tol_50chars
